"OBS ","","ID ","UF ","","TFW ","SW ","WOV ","TBW ","USW ","PFW ","OCW ","AGW ","ASTLOG ","","BIOLOG ",
"1 ","DIDELPHIS ","MARSUPIAL ","","UF1524 ","2.6500 ","0.5750 ","C.2800 ","0.182000 ","1.6130 ","8.37 ","16.82 ","","","","0.4232 ",
"2 ","DIDFLIHIS ","MARSUPIAL ","","JF1579 ","3.9150 ","0.7250 ","0.2600 ","0.227000 ","2.7030 ","7.78 ","16.80 ","13.36 ","","1.12581 ","0.5927 ",
"3 ","DIDELPHIS ","MARSUPIAL ","","UF1967 ","2.3320 ","0.3680 ","0.3820 ","0.171000 ","1.4610 ","6.92 ","","","","","0.3769 ",
"4 ","DIDELOHIS ","SP ","","PRANGE ","3.3500 ","","","0.193000 ","","","","","","","0.5250 ",
"5 ","DIDELHIS ","MARSUDIAL ","","PRANGE ","2.9400 ","","","0.185000 ","","","","","","","0.4683 ",
"6 ","DIDELPHIS ","VIRGINIAN ","","31147 ","1.5300 ","0.3300 ","0.2690 ","0.075000 ","0.9060 ","","","","","","0. 1987 ",
"7 ","DIDELPHIS ","VIRGINIAN ","","LSU136 ","2.0860 ","0.3100 ","0.1700 ","0.112900 ","1.4940 ","e ","","","","","0..3193 ",
"8 ","INSECTI ","VORA ","","DRANGE ","0.0063 ","","","0.000300 ","","e ","","","","","-2.2007 ",
"9 ","SYLVILAGUS ","FLOPIDAN ","","CUMBAA ","1.2400 ","0.1250 ","0.2700 ","0.061000 ","0.7840 ","","","","","","0.0934 ",
"10 ","SYLVILAGUS ","FLORIDAN ","","UF1684 ","0.1590 ","0.0190 ","0.0290 ","0.008000 ","0.1130 ","4.12 ",". ",". ","","","-0.7721 ",
"11 ","SYLVILAGUS ","FLORIDAN ","","UF2166 ","1.1950 ","0.0740 ","0.1840 ","0,585000 ","0.9530 ","5.32 ","","","","","0.0774 ",
"1 2 ","","SYLVILAGUS PALUSTRI ","","UF1561 ","0.8200 ","0.1160 ","0.2010 ","0.027000 ","0.4970 ","5.85 ","","","","","-0.0862 ",
"13 ","","SYLVILAGUS PALUSTR I ","","UF1605 ","0.7900 ","0.1050 ","0.2100 ","0.039000 ","0.4370 ","6.08 ","","","","","-0.1024 ",
"14 ","","SYLVILAGUS FLORIDAN ","","LSU188 ","1.7400 ","0.1530 ","0.4560 ","0.082000 ","1.0520 ","","","","","","0.2405 ",
"15 ","","SYLVILGAUS AQUATICU ","","LSU250 ","1.7800 ","0.160C ","0.4570 ","0.072000 ","1.0900 ","","","","","","0.2504 ",
"16 ","","SYLVILAGUS AQUATICU ","","LSJ177 ","1.9100 ","0.1900 ","0.5490 ","0.109000 ","1.0600 ","e ","","","","","0.2810 ",
"17 ","SYLVIAGUS ","SP ","","PRANGE ","2.0210 ","","","0.181000 ","","","","","","","0.3056 ",
"18 ","ERETHIZON ","SP ","","PRANGE ","7.0000 ","","","0.294000 ","","","","","","","0.8451 ",
"19 ","MYOCASTER ","COYPUS ","","UF1402 ","4.8360 ","0.7680 ","0.9200 ","0.244000 ","0.2900 ","10.31 ","","","","","0.6845 ",
"20 ","MYOCASTER ","COYPUS ","","UF1402 ","1.9200 ","0.2650 ","0.5400 ","0.096000 ","1.0190 ","9.10 ","","","","","0.2833 ",
"21 ","","SP ","","DRANGE ","0.0295 ","","","0.001300 ","","","","","","","-1.5302 ",
"22 ","PEROMYSCUS ","SP ","","UF1502 ","0.0274 ","0.0050 ","","0.004000 ","0.0120 ","1.70 ","6.28 ","","","","-1.5622 ",
"23 ","MICROTUS ","SP ","","PRANGE ","0.0421 ","","","0.001800 ","","","","","","","-1.3757 ",
"24 ","MICROTUS ","OCHROGAST ","","UF1562 ","0.0468 ","0.0080 ","0.0050 ","0.001700 ","0.0317 ","1.79 ","5.43 ","","","","-1.3298 ",
"25 ","MICROTUS ","OCHROGAST ","","UF1562 ","0.0300 ","0.0010 ","0.0010 ","0.002000 ","0.0250 ","1.66 ","5.63 ","","","","-1.5229 ",
"26 ","SIGMODON ","HISPIDUS ","","UF1492 ","0.0800 ","0.0150 ","0.0170 ","0.001000 ","0.0470 ","2.82 ","7.59 ","","","","-1.0969 ",
"27 ","GLAUCOMY3 ","VOLANS ","","UF1507 ","0.0300 ","0.0050 ","0.0090 ","0.004000 ","0.0120 ","1.85 ","","","","","-1.5229 ",
"28 ","EUTAMIAS ","SP ","","PRANGE ","0.0488 ","","","0.002200 ","","","","","","","-1.3116 ",
"29 ","CITELLUS ","SP ","","PRANGE ","0.1140 ","","","0.005200 ","","","","","","","-0.9431 ",
"30 ","SCIURLS ","SP ","","PRANGE ","0.8450 ","","","0.041700 ","","",". ","","","","-0.0731 ",
"31 ","SCIURUS ","CARDLINENS ","","CUMBAA ","0.5550 ","0.1000 ","C.0850 ","0.021000 ","0.3490 ","","","","","","-0.2557 ",
"32 ","SCIURUS ","CAROLINEN? ","","UF1501 ","0.2750 ","0.0500 ","0.0300 ","0.015000 ","0.1800 ","4.83 ","","","","","-0.5607 ",
"33 ","SCIURUS ","CAROLINENS ","","UF1610 ","0.3650 ","0.0700 ","0.0300 ","0.200000 ","0.2450 ","5.12 ","","","","","-0.4377 ",
"34 ","CIURUS ","CAROLINFNS ","","UF1958 ","0.3990 ","0.5500 ","0.0450 ","0.018000 ","0.2800 ","4.84 ","12.10 ","5.60 ","","0.74819 ","-0.3990 ",
"35 ","THOMOMY! ","SP ","","PRANGE ","0.1150 ","","","0.007600 ","","","","","","","-0.9393 ",
"36 ","CASTOR ","co ","","PRANGE ","1.1460 ","","","0.022700 ","","","","","","","0.0592 ",
"37 ","CAVIA ","PORCFLLUS ","","UF1508 ","0.0550 ","0.0090 ","0.6050 ","0,046000 ","2.6200 ",". ","","","","","-1.1871 ",
"38 ","MUR ","IDAE ","","PRANGE ","0.0200 ","","","0.001066 ","","","","","","","-1.6990 ",
"39 ","MUR ","IDAE ","","PRANGE ","0.2050 ","","","0.012900 ","",". ","","","","","-0.6882 ",
"40 ","MYOCASTOR ","COYPUS ","","LSU306 ","4.6000 ","0.8550 ","1.4290 ","0.276000 ","2.0400 ","","","","","","0.6628 ",
"41 ","SIGMODON ","HISPIDUS ","","LSU151 ","0.0520 ","0.0080 ","0.0149 ","0.002000 ","0.0360 ",". ","","",". ","","-1.2076 ",
"42 ","SCIURUS ","CAROLINENS ","","LSU239 ","0.3630 ","0.0540 ","0.0669 ","C.018400 ","0.2240 ","","","","","","-0.4401 ",
"43 ","SCIURUS ","CAROLINENS ","","LSU143 ","0.3720 ","0.0600 ","0.4700 ","0.019700 ","0.2450 ",". ","","","","","-0.4295 ",
"44 ","SCIURUS ","CAROLINENS ","","LS'240 ","0.4340 ","0.0680 ","0.0740 ","0.021000 ","0.2700 ","","","","","","-0.3625 ",
"45 ","SCIURUS ","NIGER ","LSU94 ","","0.6560 ","0.0210 ","0.0850 ","C.031000 ","0.5180 ","","","","","","-0.1831 ",
"46 ","SCIURUS ","NIGER ","","LSU257 ","0.4090 ","0.0699 ","0.0830 ","0.016400 ","0.2390 ","","","","","","-0.3883 ",
"47 ","RATTUS ","NORVEG ","","LSU244 ","0.3909 ","0.0676 ","0.0676 ","0.015200 ","0.2410 ","","","","","","-0.4079 ",
"48 ","CASTOR ","CANA ","LSU70 ","","1 5.4000 ","2.4900 ","4.7600 ","0.809000 ","7.3400 ","","","","","","1.1875 ",
"49 ","PROCYON ","LOTOR ","","UF1534 ","2.5800 ","","","0.200000 ","","1 1.72 ","","","","","0.4281 ",
"50 ","PROCYON ","LOTOR ","","UF1538 ","3.2600 ",". ","","","e ","12.30 ","","","","","0.5132 ",
"51 ","PROCYON ","LOTOR ","","UF1538 ","3.0500 ","e ","","","","10.90 ","","","","","0.4857 ",
"52 ","PROCYON ","LOTOR ","","UF1538 ","2.8400 ","","","","","12.20 ","","","","","0.4533 ",
"53 ","PROCYON ","LOTOR ","","UF1559 ","3.3250 ","0.5250 ","0.3400 ","0.128300 ","?.3300 ","12.90 ","25.20 ","","","","0.5218 ",
"54 ","PROCYON ","LOTOR ","","UF1560 ","4.8160 ","0.7420 ","","0.223000 ","2.7900 ","12.69 ","","","","","0.6827 ",
"55 ","PROCYON ","LOTOR ","","UF1563 ","1.3900 ","0.2900 ","","0.062000 ","1.0400 ","9.50 ","","","","","0.1430 ",
"56 ","PROCYON ","LOTOR ","","UF1563 ","2.4600 ","0.4800 ","0.2650 ","0.107000 ","1.6090 ","11.30 ","","","","","0.3909 ",
